"mbid","clustering_local","triangles","open_wedges","gwesp_contrib","degree","eigencentrality","pagerank","kcore","betweenness","closeness","same_genre_share"
"9c5f0dca-d34c-4091-9e92-545e5899caad",0.644444444444444,29,16,0,10,0.00415866097868473,0.000393575532538724,7,0.000165037962946533,0.217914647491011,1
"9fb2e361-6b56-44ae-b276-50e46e8f8688",1,6,0,0,4,0.00469309086095926,0.000213998538601751,4,0,0.226445743989604,0.5
"2f522f5c-111c-4ce8-8bd0-d82e97c227ad",1,1,0,0,2,4.51948180509596e-17,0.000387611922942295,2,0,1,1
"cf3bab56-feda-41ec-9aef-a9a31b1ad97e",1,1,0,0,2,6.80714748829705e-05,0.000169734913377094,2,0,0.175965665236052,1
"dda1353c-6395-455b-8b2c-20a59ba61962",1,6,0,0,4,8.3635627896432e-06,0.000233091038233038,4,0,0.144515861496994,1
"863cd67a-33d3-4394-b8d4-eaf7c123427c",1,21,0,0,7,0,0.000347976105446762,7,0,0.606060606060606,1
"93c4a677-a00b-4067-b594-4dcdbc5c9d44",1,10,0,0,5,0.000339697888794921,0.000286685128933133,5,0,0.156313074680422,1
"1130da4c-32e8-41d3-8951-ef224590d64b",1,3,0,0,3,3.70446453865543e-17,0.000387611922942939,3,0,1,1
"5780ff53-6dfa-4835-80dc-71c7316208a5",1,1,0,0,2,3.91372711161641e-17,0.000381298218672404,2,0,0.75,1
"262cf0ce-2af2-4686-a8cc-d6b33e97336d",0.666666666666667,4,2,0,4,4.95333486646895e-17,0.000475668664735361,3,2.54284050541498e-07,1,1
"7ebebd5e-98f5-4511-bf51-e1ebe17bcb36",1,6,0,0,4,0.00393564428425775,0.000239935245716154,4,0,0.203058994901675,0.75
"29ed4a49-fb99-4a5c-8713-609cabe6f34a",1,10,0,0,5,0,0.000309955398412808,5,0,0.571428571428571,1
"b78346af-e3ce-4b36-a0d5-032414de8a27",1,6,0,0,4,2.01245310869317e-17,0.000387611922942844,4,0,1,1
"ee1e7008-03ac-4324-9653-70d847e4c4f6",1,1,0,0,2,5.07424974902479e-17,0.000387611922942527,2,0,1,1
"cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493",0.238095238095238,5,16,0,7,0.000193295426332496,0.000660534683254782,3,0.00336361836392183,0.16415449835139,0.428571428571429
"53e1c16b-d6e4-4086-b3e6-a6fd29ab0321",0.401477832512315,163,243,0,29,0.0683125404673845,0.000890724140804564,15,0.00536550958327608,0.24302649930265,0.862068965517241
"23eb93f3-52b5-470a-aee1-11b76336ae41",1,1,0,0,2,4.94269096358274e-17,0.000387611922942295,2,0,1,1
"c36ddabd-84d9-400a-91e9-e7c51b246852",1,1,0,0,2,7.64173481570663e-18,0.000212082124603838,2,0,0.240384615384615,1
"3d2ee04c-c21d-424d-91da-afd66258438e",0.39047619047619,41,64,0,15,0.00571312054093276,0.000673271069348081,8,0.00111829910391919,0.215223097112861,0.2
"2873b450-13c6-4ca1-8ca3-646c25af3202",0.275,33,87,0,16,0.012690502287247,0.000880303877284662,7,0.00240897585943433,0.204518779342723,1
"f545eed4-cd4c-40a3-89c0-edf4d195e52e",1,3,0,0,3,0.001516377034254,0.000222742856320116,3,0,0.181062475646188,1
"7bd9e20e-74b9-446a-a2ed-a223f82a36e7",0,0,0,0,1,4.03906657074586e-17,0.000387611922942887,1,0,1,1
"33bfd0a3-ade2-4b57-a1d5-7d024dbcb381",0.8,8,2,0,5,2.8745581784533e-17,0.000441157757902771,4,1.69522700360999e-07,1,1
"409538d4-488b-43fe-a4a3-49a3a80cc78f",1,1,0,0,2,4.8935172381625e-17,0.000387611922942527,2,0,1,1
